Fecha,Hora,ACO,AJM,AJU,ATI,AZC,BJU,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,LAG,LLA,LPR,MER,MGH,MPA,NEZ,PED,PLA,SAC,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VIF,XAL,
20-09-2020,3,,,,5,,8,8,12,,13,,,,,13,15,17,,17,,,,,5,11,18,14,14,,12,,19,,,,11,,,5,,,9,5,21,,
20-09-2020,4,,,,16,,8,5,9,,11,,,,,12,10,20,,17,,,,,4,10,22,13,12,,10,,19,,,,16,,,11,,,12,8,17,,
20-09-2020,5,,,,13,,4,7,10,,10,,,,,16,8,11,,14,,,,,1,5,20,10,11,,7,,15,,,,14,,,14,,,12,6,13,,
20-09-2020,6,,,,4,,1,4,9,,9,,,,,9,9,11,,12,,,,,0,3,21,6,7,,6,,10,,,,17,,,12,,,12,6,8,,
20-09-2020,7,,,,6,,3,4,6,,8,,,,,10,5,8,,3,,,,,0,5,21,8,5,,2,,9,,,,14,,,9,,,10,2,7,,
20-09-2020,8,,,,2,,6,6,2,,9,,,,,13,4,10,,3,,,,,2,7,16,6,4,,2,,9,,,,12,,,6,,,7,2,14,,
20-09-2020,9,,,,8,,6,11,6,,11,,,,,13,8,13,,10,,,,,5,8,18,10,5,,6,,13,,,,10,,,11,,,12,5,21,,
20-09-2020,10,,,,14,,11,17,13,,22,,,,,15,23,24,,14,,,,,12,18,25,24,8,,15,,19,,,,14,,,16,,,9,17,26,,
20-09-2020,11,,,,26,,19,29,22,,30,,,,,24,36,38,,20,,,,,21,23,22,37,22,,29,,29,,,,19,,,22,,,22,30,37,,
20-09-2020,12,,,,33,,33,44,35,,40,,,,,32,55,52,,27,,,,,38,34,26,53,38,,51,,38,,,,35,,,35,,,32,47,49,,
20-09-2020,13,,,,49,,52,66,56,,48,,,,,43,78,79,,22,,,,,60,58,41,70,52,,81,,54,,,,54,,,43,,,56,72,55,,
20-09-2020,14,,,,65,,77,87,76,,48,,,,,53,97,107,,30,,,,,84,85,63,86,64,,93,,68,,,,73,,,70,,,79,100,61,,
20-09-2020,15,,,,63,,83,98,69,,52,,,,,75,86,114,,37,,,,,102,96,70,87,68,,95,,73,,,,80,,,82,,,75,116,58,,
20-09-2020,16,,,,54,,74,101,70,,33,,,,,70,90,105,,28,,,,,101,96,72,89,70,,93,,48,,,,74,,,75,,,63,88,57,,
20-09-2020,17,,,,57,,81,78,85,,27,,,,,56,51,91,,30,,,,,92,85,65,73,85,,64,,43,,,,61,,,59,,,83,82,52,,
20-09-2020,18,,,,55,,57,52,71,,31,,,,,53,30,34,,17,,,,,50,55,49,33,71,,41,,61,,,,45,,,59,,,56,46,44,,
20-09-2020,19,,,,37,,35,26,45,,27,,,,,41,24,22,,20,,,,,35,44,35,29,46,,24,,48,,,,31,,,34,,,45,30,28,,
20-09-2020,20,,,,33,,39,28,51,,33,,,,,,29,20,,19,,,,,34,40,31,35,41,,39,,50,,,,,,,33,,,46,39,22,,
20-09-2020,21,,,,27,,27,23,46,,24,,,,,,18,13,,22,,,,,27,38,25,22,38,,32,,46,,,,18,,,24,,,42,29,25,,
20-09-2020,22,,,,22,,29,23,37,,20,,,,,,14,10,,29,,,,,27,39,28,16,31,,26,,42,,,,30,,,21,,,33,27,20,,
20-09-2020,23,,,,27,,28,25,36,,22,,,,,,12,15,,25,,,,,24,33,33,22,30,,21,,38,,,,26,,,24,,,34,24,22,,
20-09-2020,24,,,,24,,24,17,32,,18,,,,,19,20,15,,12,,,,,18,30,29,18,33,,18,,39,,,,33,,,15,,,34,26,19,,
21-09-2020,1,,,,13,,19,5,27,,15,,,,,18,19,20,,11,,,,,11,20,37,25,26,,17,,33,,,,31,,,9,,,30,23,19,,
21-09-2020,2,,,,8,,13,5,23,,14,,,,,15,18,20,,21,,,,,5,15,33,21,19,,19,,23,,,,27,,,8,,,24,18,17,,
21-09-2020,3,,,,6,,11,1,20,,13,,,,,11,15,9,,9,,,,,7,11,26,14,16,,17,,21,,,,23,,,11,,,16,7,15,,
21-09-2020,4,,,,5,,5,4,15,,11,,,,,8,11,11,,16,,,,,4,5,25,19,16,,10,,23,,,,16,,,7,,,11,5,4,,
21-09-2020,5,,,,2,,3,4,11,,10,,,,,5,7,10,,20,,,,,0,5,21,7,14,,5,,13,,,,10,,,5,,,10,3,3,,
21-09-2020,6,,,,0,,1,1,6,,4,,,,,1,2,3,,8,,,,,0,2,20,8,10,,3,,10,,,,5,,,2,,,5,1,4,,
21-09-2020,7,,,,0,,1,1,3,,1,,,,,1,1,2,,11,,,,,0,1,23,2,2,,1,,3,,,,3,,,2,,,3,1,2,,
21-09-2020,8,,,,0,,2,2,5,,4,,,,,2,3,6,,25,,,,,1,2,,7,7,,2,,12,,,,5,,,4,,,5,2,6,,
21-09-2020,9,,,,2,,6,4,8,,13,,,,,6,14,19,,24,,,,,9,4,,12,13,,5,,19,,,,19,,,6,,,16,6,10,,
21-09-2020,10,,,,6,,14,9,19,,28,,,,,12,25,27,,23,,,,,17,13,,23,11,,14,,22,,,,26,,,8,,,23,13,14,,
21-09-2020,11,,,,,,18,20,31,,34,,,,,20,30,38,,,,,,,26,25,,34,20,,29,,31,,,,38,,,16,,,33,30,26,,
21-09-2020,12,,,,,,38,32,46,,45,,,,,30,,47,,31,,,,,33,38,,53,39,,53,,41,,,,54,,,33,,,52,47,43,,
21-09-2020,13,,,,50,,58,41,71,,53,,,,,50,,73,,37,,,,,50,56,,71,59,,75,,60,,,,74,,,48,,,76,71,63,,
21-09-2020,14,,,,55,,67,76,90,,42,,,,,65,,103,,40,,,,,94,71,,77,77,,87,,78,,,,69,,,60,,,90,91,61,,
21-09-2020,15,,,,58,,61,84,75,,31,,,,,69,,84,,38,,,,,70,76,,50,56,,48,,68,,,,27,,,71,,,58,55,62,,
21-09-2020,16,,,,56,,32,42,34,,25,,,,,34,,,,33,,,,,41,32,,40,27,,39,,36,,,,23,,,45,,,38,36,50,,
21-09-2020,17,,,,43,,28,34,24,,24,,,,,19,,,,17,,,,,28,18,,38,19,,40,,14,,,,20,,,36,,,29,33,32,,
21-09-2020,18,,,,25,,22,14,23,,23,,,,,28,,,,16,,,,,17,18,,26,10,,28,,12,,,,21,,,15,,,28,29,23,,
21-09-2020,19,,,,31,,24,11,28,,24,,,,,33,,,,9,,,,,16,29,,17,8,,13,,21,,,,23,,,9,,,20,13,16,,
21-09-2020,20,,,,29,,27,11,28,,25,,,,,19,,,,9,,,,,8,24,,17,6,,13,,4,,,,15,,,21,,,22,11,9,,
21-09-2020,21,,,,19,,25,10,11,,18,,,,,10,,,,14,,,,,9,18,,2,16,,10,,7,,,,17,,,13,,,10,9,9,,
